Cities;Population;Employees;Lattitude;Longitude
Alkmaar;111834;122;52,6316;4,7487
Almere;222825;250;52,3676;5,2322
Alphen aan de Rijn;114182;135;52,1292;4,6555
Amersfoort;160759;195;52,1561;5,3878
Amsterdam;918117;1157;52,3676;4,9041
Delft;106086;174;51,999;4,3628
Den Haag ;562839;957;52,0705;4,3007
Dordrecht;121434;255;51,8133;4,6905
Gouda;75316;167;52,0167;4,7083
Haarlem;165396;379;52,3874;4,899
Hilversum;93345;231;52,2292;5,1669
Leiden;127089;330;52,1585;4,493
Rotterdam;663900;1848;51,9225;4,4794
Schiphol, Haarlemmermeer;162300;716;52,3086;4,7639
Spijkenisse;72561;374;51,8458;4,3213
Utrecht;367947;2049;52,0907;5,1214
Vlaardingen;75079;709;51,9129;4,3623
Westland;114887;1263;51,9992;4,2089
Woerden;53244;783;52,0791;4,8629
Zaanstad;159618;2785;52,4405;4,8183
Zoetermeer;126998;5000;52,0574;4,4937
