Cities;Alkmaar;Almere;Alphen aan de Rijn;Amersfoort;Amsterdam;Delft;Den Haag ;Dordrecht;Gouda;Haarlem;Hilversum;Leiden;Rotterdam;Schiphol, Haarlemmermeer;Spijkenisse;Utrecht;Vlaardingen;Westland;Woerden;Zaanstad;Zoetermeer
Alkmaar;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
Almere;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Alphen aan de Rijn;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1
Amersfoort;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
Amsterdam;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;1;0
Delft;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1
Den Haag ;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1
Dordrecht;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Gouda;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1
Haarlem;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0
Hilversum;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Leiden;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1
Rotterdam;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;1
Schiphol, Haarlemmermeer;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0
Spijkenisse;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
Utrecht;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
Vlaardingen;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
Westland;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Woerden;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0
Zaanstad;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Zoetermeer;0;0;1;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0
