Alkmaar;Almere;Alphen aan de Rijn;Amersfoort;Amsterdam;Delft;Den Haag ;Dordrecht;Gouda;Haarlem;Hilversum;Leiden;Rotterdam;Schiphol, Haarlemmermeer;Spijkenisse;Utrecht;Vlaardingen;Westland;Woerden;Zaanstad;Zoetermeer
0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1
0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;1;0
0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1
0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1
1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0
0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1
0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;1
0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0
0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0
1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0
